Name,Lap,Lap_Time,Rest_Time,Total_Time_Course,Total_Time_Rest,Distance,Drop,Status
Gavin Woody,40,51.36666666666667,8.616666666666667,2084.483333333333,314.85,166.66799999999998,YES,2
Guillaume Calmettes,23,58.06666666666667,1.9166666666666665,1190,189.61666666666667,95.83409999999999,YES,2
Maggie Guterl,60,54.4,5.583333333333333,3038.2,560.8,250.00199999999998,NO,1
Joe Fejes,20,56.43333333333333,3.55,1021.7166666666667,177.95000000000002,83.33399999999999,YES,2
David Johnston,15,57.21666666666667,2.7666666666666666,831.8833333333333,67.86666666666666,62.500499999999995,YES,2
Andres Villagran,38,56.833333333333336,3.15,1987.3666666666666,292,158.3346,YES,2
Shawn Webber,42,51.9,8.083333333333334,2236.25,283.05,175.0014,YES,2
Andy Pearson,28,55.016666666666666,4.966666666666667,1419.6166666666666,259.9166666666667,116.6676,YES,2
Marcy Beard,17,58.35,1.6333333333333333,974.5333333333333,45.18333333333333,70.8339,YES,2
Will Thomas,33,59.5,0.48333333333333334,1871.95,107.5,137.50109999999998,YES,2
Daniel Shamburg,29,55.55,4.433333333333334,1543.9166666666667,195.6,120.83429999999998,YES,2
Anatoly Ross,24,56.5,3.4833333333333334,1322.8833333333334,116.71666666666667,100.0008,YES,2
Jasmine Chiaramonte,20,56.38333333333333,3.6,1048.25,151.41666666666666,83.33399999999999,YES,2
Brian Trinkle,32,58.53333333333333,1.45,1741.85,177.61666666666667,133.3344,YES,2
Casey Thivierge,13,55.86666666666667,4.116666666666666,723.7166666666667,56.06666666666666,54.1671,YES,2
Sean O'Connor,31,56.483333333333334,3.5,1615.1,244.38333333333333,129.1677,YES,2
Troy Allen,26,57.9,2.0833333333333335,1383.65,175.91666666666666,108.3342,YES,2
Lisa Amundsson,24,53.516666666666666,6.466666666666667,1318.1833333333334,121.41666666666667,100.0008,YES,2
Perola Axelsson,11,57.233333333333334,2.75,620.5,39.31666666666666,45.83369999999999,YES,2
